shop_id,shop_name,category,address,longitude,latitude,tel,rating,cost,business_area,type
1,翠孃孃老火锅(春熙路老店),火锅店,永兴巷15号附1号(熊猫邮局旁50米),104.078075,30.661312,15328052249;18140097359,4.7,102.00,春熙路,餐饮服务;中餐厅;火锅店
2,皇城老妈火锅(皇城店),火锅店,二环路南三段20号,104.052475,30.621677,028-85139999,4.8,115.00,紫荆,餐饮服务;中餐厅;火锅店
3,鹏鹏妈老火锅(宽窄巷子店),火锅店,二道桥街31号1幢1楼1号(距宽窄巷子地铁口350米),104.049403,30.669748,19113904696,4.7,82.00,长顺街,餐饮服务;中餐厅;火锅店
4,天星正源火锅(海椒市店),火锅店,海椒市街10-12号,104.101907,30.638695,18180209080,4.8,99.00,海椒市,餐饮服务;中餐厅;火锅店
5,罗二火锅(小关庙店),火锅店,莹华寺街34号,104.086574,30.667985,15718033318;18466628805,4.7,98.00,红星路,餐饮服务;中餐厅;火锅店
6,岳富贵老火锅(春熙路店),餐饮相关,三倒拐街25号(距太升南路地铁站b口200米),104.079419,30.662411,19130875312,4.7,89.00,太升路,餐饮服务;餐饮相关场所;餐饮相关
7,五里关火锅(奎星楼店),火锅店,长顺中街99号,104.055896,30.667604,19113431373,4.7,110.00,长顺街,餐饮服务;中餐厅;火锅店
8,骆孃孃老火锅(春熙路店),火锅店,东大街上东大街段326号(群光广场对面),104.075441,30.653523,028-61333177,4.7,81.00,春熙路,餐饮服务;中餐厅;火锅店
9,川西坝子火锅(交子大道3.0直营店),火锅店,交子大道456号(交子大道地铁站D口步行130米),104.052216,30.582602,028-87766517,4.8,106.00,石羊场,餐饮服务;中餐厅;四川菜(川菜)|餐饮服务;中餐厅;火锅店
10,天星正源火锅(地勘路店),火锅店,地勘路1号附52号,104.121513,30.680821,17788665136;17788665139,4.8,98.00,府青路,餐饮服务;中餐厅;火锅店
11,翠孃孃老火锅(文殊院店),火锅店,顺城大街316号附4号(文殊院地铁站H口步行460米),104.071131,30.669891,14780433983;17702825393,4.6,85.00,顺城大街,餐饮服务;中餐厅;火锅店
12,龙森园火锅(琴台路店),火锅店,琴台路60号,104.045396,30.658815,19181951259,4.7,200.00,小南街,餐饮服务;中餐厅;火锅店
13,鹏鹏妈老火锅(春熙路店),火锅店,青石桥中街8-51号停车场内(距春熙路步行街200米),104.07245,30.653268,18980725730,4.7,80.00,春熙路,餐饮服务;中餐厅;火锅店
14,坎尖老火锅(春熙路店),火锅店,惜字宫南街72号,104.085705,30.659379,028-86720276,4.7,75.00,春熙路,餐饮服务;中餐厅;火锅店
15,海底捞火锅(万象城店),火锅店,双成二路98号成都万象城购物中心C馆L5层C-501号,104.115766,30.647576,028-62004266;028-67575808,4.7,120.00,万年场,餐饮服务;中餐厅;火锅店
16,天星正源火锅(高新店),火锅店,荟锦路288号,104.057099,30.588831,13551879074,4.8,103.00,石羊场,餐饮服务;中餐厅;火锅店
17,川西坝子火锅(金沙1.0直营店),四川菜(川菜),黄苑街6号(黄忠地铁站D口步行400米),104.012275,30.686754,028-87622517,4.8,109.00,黄忠村,餐饮服务;中餐厅;火锅店|餐饮服务;中餐厅;四川菜(川菜)
18,翠孃孃老火锅(春熙路分店),火锅店,纯阳观街1-42号(乘风巷内),104.078964,30.660272,18140097359,4.7,105.00,太升路,餐饮服务;中餐厅;火锅店
19,五里关火锅(牛市口店),火锅店,东大街锦东路段555号附10号1层,104.10587,30.640434,18113176352,4.7,104.00,双桥子,餐饮服务;中餐厅;火锅店
20,坎尖老火锅(宽窄巷子店),火锅店,祥和苑东南门旁,104.053195,30.673431,028-69035278,4.7,83.00,长顺街,餐饮服务;中餐厅;火锅店
21,海底捞火锅(春熙路银石广场店),火锅店,红星路三段99号银石广场1栋1单元7层1号,104.079797,30.653223,028-81255801;028-81255802,4.6,120.00,东大街,餐饮服务;中餐厅;火锅店
