template_id,days,crowd,budget,itinerary_json
1,1,学生穷游,300以内,"{""days"": [{""day"": 1, ""morning"": ""成都大熊猫繁育研究基地 - 早上7:30前到达（地铁3号线熊猫大道站D口出，换乘景区直通车或打车约15元；门票学生半价27元）。务必一开门就冲月亮产房看幼年熊猫，9点后熊猫开始犯困，10点前看完主要区域。自带水和干粮，园内餐饮贵。"", ""afternoon"": ""武侯祠+锦里 - 从熊猫基地打车到地铁熊猫大道站（约10元），乘3号线到高升桥站（约4元，40分钟），出站步行5分钟。武侯祠学生票25元（约1.5小时逛完），中午在锦里吃小吃（凉糕、三大炮、钵钵鸡等，人均30元吃饱）。锦里免费，逛2小时，感受三国文化与川西民俗。"", ""evening"": ""春熙路/IFS/太古里 - 从锦里乘地铁3号线到春熙路站（约3元，20分钟）。先上IFS七楼和爬墙熊猫合影（免费），再逛太古里看夜景（免费），最后在春熙路附近吃晚餐：推荐龙王庙正街的「绝舌冒菜」或「三顾冒菜」，人均25元，或买路边锅盔+冰粉（15元）。"", ""notes"": ""1. 熊猫基地一定要早，7:30开门就冲，否则看熊猫屁股。2. 武侯祠和锦里挨着，先逛武侯祠（需买票），锦里免费但人多注意手机。3. 太古里网红餐厅贵，穷游去旁边东糠市街吃苍蝇馆子。4. 全天交通费约35元，门票52元，餐饮约60元，总计约147元，预算充足可加一杯鹤鸣茶社的茶（但今天时间紧，不去）。5. 穿运动鞋，日行2万步。6. 晚上9点后春熙路地铁末班车前回住处。""}]}"
2,1,情侣约会,800左右,"{""days"": [{""day"": 1, ""morning"": ""成都大熊猫繁育研究基地 - 早上7:30打车或乘地铁3号线至熊猫大道站换乘景区直通车前往（车费约30元/人，门票55元/人）。赶在8点开门时入园，直奔月亮产房看幼崽，此时熊猫最活跃，建议游玩2.5小时，避开9:30后旅行团高峰。"", ""afternoon"": ""武侯祠+锦里（同一区域） - 从熊猫基地打车至武侯祠约40元（或乘景区直通车10元/人）。先游览武侯祠（门票50元/人，游玩1.5小时），感受三国文化，红墙竹影处拍照很出片。下午4点从侧门直接进入锦里古街（免费），吃三大炮、糖油果子（约20元），逛到5:30人流渐多前离开。"", ""evening"": ""春熙路/IFS/太古里 - 从锦里打车约25元至春熙路。先上IFS 7楼和爬墙熊猫合影（免费），再步行至太古里看夜景，打卡大慈寺外围灯光。晚餐安排在镗钯街或太古里附近，推荐情侣吃『马旺子川菜』（人均120元）或『烤匠烤鱼』（人均100元），饭后在方所书店逛逛，或去兰桂坊酒吧街小酌一杯（人均80元）。"", ""notes"": ""1. 熊猫基地务必7:30前出发，否则熊猫回室内会排队且看不到活跃状态；2. 武侯祠和锦里之间无需打车，直接穿门而过；3. 锦里小吃街人多，建议只尝不买多，晚餐留到太古里；4. 今日总通勤约1.5小时（打车分段进行），控制在2小时内；5. 预算：门票+车费约150元/人，晚餐+小吃约200元/人，总花费350元/人，剩余预算可买熊猫玩偶或喝茶。""}]}"
3,1,亲子家庭,1000左右,"{""days"": [{""day"": 1, ""morning"": ""成都大熊猫繁育研究基地 - 上午7:30打车或乘地铁3号线到熊猫大道站再换乘景区直通车前往（车费约30元/人，门票55元/人，儿童27元）。赶在8点开门时入园，直奔幼年熊猫别墅，看熊猫进食和玩耍，9-10点最活跃。游览约3小时，园内观光车10元/人（可选）。"", ""afternoon"": ""武侯祠+锦里（一墙之隔，同一半天） - 从熊猫基地打车至武侯祠约40分钟，车费约60元。武侯祠门票50元/人，儿童半价，游览1.5小时，了解三国文化。下午3点步行到隔壁锦里古街，免费逛吃，在锦里内品尝三大炮、糖油果子、钵钵鸡等小吃，人均约40元。之后乘地铁3号线（高升桥站）到宽窄巷子站（约20分钟，4元/人）。"", ""evening"": ""宽窄巷子+人民公园鹤鸣茶社（同一半天，步行10分钟） - 傍晚5点半先步行至人民公园鹤鸣茶社（免费入园），体验盖碗茶（20元/杯），给孩子点一份钟水饺或担担面（约15元）。6点半步行10分钟到宽窄巷子，夜游青砖黛瓦的院落，看川剧变脸表演（亲子场约80元/人含茶水）。之后乘地铁2号线至春熙路站（3站，约10分钟）。"", ""notes"": ""1. 熊猫基地务必7:30前出发，8点开门直接冲月亮产房，晚了熊猫就睡觉了。2. 武侯祠和锦里紧凑游玩，不要在锦里吃正餐，留肚子到宽窄巷子。3. 鹤鸣茶社下午4点后人少，傍晚光线拍照好看，但注意蚊虫，带驱蚊水。4. 宽窄巷子里的掏耳朵服务贵且体验一般，不建议尝试。5. 春熙路夜市餐饮偏贵，建议在宽窄巷子附近吃小吃，到春熙路只逛夜景拍照。6. 全天交通建议用天府通APP扫码乘地铁，打车高峰避开5-7点。7. 预算参考：门票+交通约200元/人，餐饮约150元/人，表演80元/人，总花费约430元/人，剩余预算可买熊猫玩偶或文创。""}]}"
4,1,商务差旅,600左右,"{""days"": [{""day"": 1, ""morning"": ""成都大熊猫繁育研究基地 - 7:30打车或乘地铁3号线至熊猫大道站转景区直通车（约40分钟，车费+门票约60元），务必赶在8:00开园时入园，趁熊猫上午进食活跃期参观月亮产房和太阳产房，游览约2.5小时。"", ""afternoon"": ""武侯祠+锦里（同一半天） - 从熊猫基地打车至武侯祠约40分钟（约50元），先参观武侯祠（门票50元，约1.5小时），出门即达隔壁锦里古街（免费），在锦里内小吃街解决午餐（人均40元），逛吃约1.5小时后步行10分钟至地铁3号线高升桥站。"", ""evening"": ""春熙路/IFS/太古里 - 乘地铁3号线至春熙路站（约20分钟，4元），傍晚先打卡IFS爬墙熊猫，逛太古里夜景，在附近餐馆用晚餐（推荐钵钵鸡或川菜，人均80元），饭后漫步大慈寺外围灯光夜景，约2小时。"", ""notes"": ""1. 熊猫基地务必7:30前出发，8:00开园直接冲观光车（10元）去最远的月亮产房，再步行往回逛，避开人流；2. 武侯祠和锦里连接紧密，锦里小吃偏贵且游客多，建议只尝特色如三大炮、糖油果子，正餐可去武侯祠大街周边老店；3. 春熙路商圈步行鞋要舒适，IFS顶层免费观景平台比楼下人少且能拍熊猫正面；4. 全天交通费约130元，门票+餐饮约340元，总花费约600元内，若打车频繁需控制在3次以内。""}]}"
5,2,学生穷游,600以内,"{""days"": [{""day"": 1, ""morning"": ""成都大熊猫繁育研究基地 - 7:30前到达门口（地铁3号线熊猫大道站D口出，转景区直通车或打车约10元/人）。门票学生半价27元。务必赶在8:00开门第一批入园，直奔月亮产房和1号别墅，看熊猫进食和玩耍的活跃状态。游玩约3小时，自带干粮和水做早餐，景区内餐饮贵。"", ""afternoon"": ""武侯祠 + 锦里 - 从熊猫基地打车到地铁熊猫大道站，乘3号线到高升桥站（约5元），出站步行10分钟即到。武侯祠学生票25元，游览约1.5小时，感受三国文化。下午4点左右出来，直接逛隔壁的锦里古街（免费），尝小吃如三大炮、糖油果子（人均20元），感受川西民俗，此时人相对少且光线好。"", ""evening"": ""春熙路/IFS/太古里 - 从锦里打车或坐公交82路到春熙路（约20分钟，2元）。晚上逛IFS看爬墙熊猫，太古里看现代与传统建筑结合的夜景，春熙路步行街吃晚餐，推荐路边小馆或银石广场负一楼小吃（人均25元，如担担面、抄手）。夜景灯光漂亮，适合拍照打卡。"", ""notes"": ""熊猫基地一定要早去，中午熊猫就睡觉了。武侯祠和锦里紧挨着，从锦里出来后直接去春熙路，不要回酒店浪费时间。锦里的小吃比外面贵一点，浅尝即可。晚上在太古里不要进大商场买东西，穷游只看不买。""}, {""day"": 2, ""morning"": ""人民公园鹤鸣茶社 - 8:30起床，地铁2号线到人民公园站（A口出，约2元）。在鹤鸣茶社点一杯盖碗茶（最低12元），体验成都慢生活，看当地人采耳、下棋。坐1-2小时，感受市井氛围。早餐就在茶社附近买豆浆油条（5元），或公园门口的小笼包。"", ""afternoon"": ""宽窄巷子 - 从人民公园步行约10分钟到宽窄巷子（免费）。中午在窄巷子找一家小吃店解决午餐（人均20元，如伤心凉粉、锅盔）。逛宽巷子、窄巷子、井巷子，看老成都院落和文创小店。下午2-3点结束，此时游客略多，但光线好适合拍照。游玩约2小时。"", ""evening"": ""九眼桥合江亭 - 从宽窄巷子坐地铁4号线到市二医院站转2号线到牛王庙站（约3元），出站步行10分钟到九眼桥。沿锦江边散步，看合江亭夜景和廊桥灯火。在九眼桥附近找苍蝇馆子吃晚餐（人均25元，如冒菜、干锅）。晚上酒吧街氛围热闹，但不进酒吧消费，穷游看夜景即可。"", ""notes"": ""鹤鸣茶社是体验成都慢生活的精髓，不要省这12元茶钱。宽窄巷子商业化较重，纪念品不要买，看看就好。晚上九眼桥灯光晚上10点前最漂亮，之后部分灯会关。今天全程步行+地铁，通勤控制在1小时内，轻松不累。""}]}"
6,2,情侣约会,1500左右,"{""days"": [{""day"": 1, ""morning"": ""成都大熊猫繁育研究基地 - 7:30打车或地铁3号线至熊猫大道站换乘景区直通车（约1小时，车费+门票约70元/人），赶在9点前入园看熊猫进食玩耍，建议提前线上购票并直奔月亮产房。"", ""afternoon"": ""武侯祠+锦里 - 从熊猫基地打车至武侯祠（约40分钟，车费约40元），先逛武侯祠（门票50元/人），感受三国文化；17:00后步行1分钟进入锦里古街，吃小吃（三大炮、钵钵鸡等，人均40元），红灯笼初上时拍照最美。"", ""evening"": ""春熙路/IFS/太古里 - 从锦里打车至春熙路（约20分钟，车费约25元），打卡IFS熊猫爬墙，逛太古里裸眼3D屏，晚餐选太古里附近火锅（如吼堂或小龙坎，人均120元），饭后逛方所书店或小酒馆听民谣。"", ""notes"": ""熊猫基地一定要早起，9点后熊猫多睡觉；武侯祠和锦里连逛约3小时，锦里小吃偏贵且人多，建议浅尝；春熙路商圈夜晚灯光最出片，IFS顶楼熊猫正面拍照需排队，可让男友在楼下仰拍更独特。""}, {""day"": 2, ""morning"": ""青城山（前山） - 早7:30从春熙路打车至犀浦站（约30分钟，车费约50元），换乘城际高铁至青城山站（约30分钟，票价10元/人），出站坐摆渡车到前山景区（往返20元/人），门票80元/人，全程徒步约4小时，感受道教仙山幽静。"", ""afternoon"": ""都江堰景区 - 从青城山打车至都江堰景区（约30分钟，车费约40元），门票80元/人，重点看鱼嘴分水堤、飞沙堰和宝瓶口，走安澜索桥，约2.5小时逛完；17:00前从都江堰站坐高铁返回犀浦（约20分钟，票价10元/人），再打车回市区（约40元）。"", ""evening"": ""人民公园鹤鸣茶社 - 从犀浦直接打车至人民公园（约30分钟，车费约35元），在鹤鸣茶社体验盖碗茶（人均20元），点钟水饺或担担面（人均30元），坐竹椅看本地人采耳，感受成都慢生活。"", ""notes"": ""青城山+都江堰一天较累，建议穿舒适运动鞋，自带水和零食；都江堰景区内不要坐观光车，步行更佳；回程高铁票建议提前买，避免无座；晚上鹤鸣茶社21点前打烊，先喝茶再吃夜宵，附近有老妈蹄花可加餐。""}]}"
7,2,亲子家庭,2000左右,"{""days"": [{""day"": 1, ""morning"": ""成都大熊猫繁育研究基地 - 7:30前到达门口（打车约50元，或地铁3号线熊猫大道站+接驳车2元），直奔月亮产房看幼年熊猫，上午熊猫最活跃，游玩约3小时。门票55元/人，儿童免票。"", ""afternoon"": ""武侯祠+锦里（一墙之隔） - 从熊猫基地打车至武侯祠约40元（或地铁3号线高升桥站），先逛武侯祠（门票50元/人，儿童免票），了解三国文化，约1.5小时；下午4点后进入锦里古街，免费，品尝三大炮、糖油果子等小吃，体验川西民俗，约2小时。"", ""evening"": ""春熙路/IFS/太古里 - 打车从锦里至春熙路约20元，看IFS爬墙熊猫打卡，逛太古里夜景，在附近吃火锅（推荐小龙坎或大龙燚，人均100-150元），逛完步行回酒店。"", ""notes"": ""1. 熊猫基地一定要赶早，7:30开门就冲，否则熊猫睡觉且人挤人。2. 武侯祠和锦里连逛，锦里小吃偏贵，建议少买多尝。3. 春熙路商圈晚餐要提前排号，热门火锅等位超1小时。4. 全天交通费约150元，门票+餐费人均约300元。""}, {""day"": 1, ""morning"": ""成都大熊猫繁育研究基地 - 7:00打车出发（约50元，或地铁3号线+景区直通车），争取7:30开园即入，直奔月亮产房看熊猫宝宝，此时大熊猫最活跃。游玩3小时，门票55元/人（儿童免票）。"", ""afternoon"": ""武侯祠+锦里 - 打车至武侯祠（约40元），先逛武侯祠（门票50元/人），了解三国文化约1.5小时，下午3点后进入隔壁锦里古街（免费），逛吃川西小吃（三大炮、钵钵鸡），体验采耳，约2小时。"", ""evening"": ""春熙路/IFS/太古里 - 打车至春熙路（约20元），打卡IFS爬墙熊猫，逛太古里潮店，在附近吃地道川菜（推荐马旺子或饕林，人均80-120元），饭后看3D裸眼大屏，夜景绝佳。"", ""notes"": ""1. 熊猫基地必须上午去，下午熊猫就睡觉了。2. 武侯祠和锦里连在一起，先逛祠再逛街，锦里小吃偏贵，浅尝即可。3. 春熙路晚上人多，注意看好孩子。4. 全天交通费约130元，门票+餐费人均约280元。""}, {""day"": 2, ""morning"": ""宽窄巷子 - 早餐后从春熙路打车约15元（或地铁4号线宽窄巷子站），逛老成都院落，看川剧变脸（现场买票约60元/人），品尝三大炮、伤心凉粉，游玩约2小时，免费。"", ""afternoon"": ""人民公园鹤鸣茶社 - 步行10分钟即达，在百年老茶馆喝盖碗茶（15-30元/人），体验成都慢生活，给孩子点一份钟水饺或担担面，看采耳（30元），闲坐1.5-2小时。"", ""evening"": ""九眼桥/合江亭夜景 - 打车约15元，沿锦江散步看廊桥夜景，在附近吃老妈蹄花或串串（人均60-80元），饭后回酒店休息。"", ""notes"": ""1. 宽窄巷子人流量大，孩子要牵好手。2. 鹤鸣茶社下午4点后人少，位置更舒服，可自带小零食。3. 九眼桥酒吧街热闹，带小孩建议只走河边步道，不进酒吧。4. 全天交通费约40元，餐费+茶点人均约150元。""}, {""day"": 2, ""morning"": ""宽窄巷子 - 打车或地铁4号线（约15元），清晨人少适合拍照，看明清古建筑和川西庭院，逛文创店，给孩子买糖画（15元），游玩约2小时，免费。"", ""afternoon"": ""人民公园鹤鸣茶社 - 步行10分钟，在百年老茶馆竹椅上喝盖碗茶（20元/人），看成都人遛鸟、打牌、采耳，给孩子点份三大炮，感受最地道的市井文化，坐1.5小时。"", ""evening"": ""太古里夜景+春熙路 - 打车至春熙路（约15元），看IFS熊猫爬墙灯光秀，逛太古里大慈寺周边夜景，在附近吃跷脚牛肉或豆花火锅（人均70元），饭后回酒店。"", ""notes"": ""1. 宽窄巷子里的掏耳朵30元，比外面贵，但体验不错。2. 鹤鸣茶社要自己找位置，人多时拼桌很正常。3. 今晚早点休息，明天若去都江堰需早起，否则可在市区休闲。4. 全天交通费约40元，人均消费约150元。""}]}"
8,2,老年慢游,1500左右,"{""days"": [{""day"": 1, ""morning"": ""成都大熊猫繁育研究基地 - 7:30开门即入园，熊猫上午最活跃。地铁3号线熊猫大道站D口出，换乘景区直通车（2元/人）或打车约15元。门票55元/人，观光车10元/人（可选，老人建议坐）。游览约2.5小时，重点看月亮产房和太阳产房。"", ""afternoon"": ""武侯祠+锦里（一墙之隔） - 从熊猫基地打车至地铁熊猫大道站，坐3号线到高升桥站（约40分钟，5元/人），出站步行8分钟到武侯祠。先游武侯祠（门票50元/人，60岁以上免票，建议带上身份证），园内古柏参天，道路平缓，适合慢走。约1.5小时后从侧门直接进锦里古街，免费，在锦里内找小吃解决午餐（推荐三大炮、糖油果子、担担面，人均30元）。锦里老街平路好走，可慢慢逛至下午4点。"", ""evening"": ""春熙路/IFS/太古里 - 从锦里打车至春熙路（约15元，20分钟）。傍晚看IFS熊猫爬墙（免费），太古里夜景灯光柔和，适合散步。晚餐在太古里周边选一家老字号（推荐盘飧市或龙抄手，人均60元）。饭后在春熙路步行街慢逛，看裸眼3D大屏。"", ""notes"": ""熊猫基地早上人最多，但熊猫也最活跃，务必7:30前到门口排队。武侯祠对60岁以上老人免费但需换票，记得带身份证。锦里小吃偏甜辣，老人若肠胃弱建议选不辣品种。春熙路晚上人多，注意保管随身物品，走累了可在太古里方所书店休息。全天步数约1.2万步，建议穿舒适运动鞋。""}, {""day"": 1, ""morning"": ""成都大熊猫繁育研究基地 - 7:30开门即入园，熊猫上午最活跃。地铁3号线熊猫大道站D口出，换乘景区直通车（2元/人）或打车约15元。门票55元/人，观光车10元/人（可选，老人建议坐）。游览约2.5小时，重点看月亮产房和太阳产房。"", ""afternoon"": ""武侯祠+锦里（一墙之隔） - 从熊猫基地打车至地铁熊猫大道站，坐3号线到高升桥站（约40分钟，5元/人），出站步行8分钟到武侯祠。先游武侯祠（门票50元/人，60岁以上免票，建议带上身份证），园内古柏参天，道路平缓，适合慢走。约1.5小时后从侧门直接进锦里古街，免费，在锦里内找小吃解决午餐（推荐三大炮、糖油果子、担担面，人均30元）。锦里老街平路好走，可慢慢逛至下午4点。"", ""evening"": ""春熙路/IFS/太古里 - 从锦里打车至春熙路（约15元，20分钟）。傍晚看IFS熊猫爬墙（免费），太古里夜景灯光柔和，适合散步。晚餐在太古里周边选一家老字号（推荐盘飧市或龙抄手，人均60元）。饭后在春熙路步行街慢逛，看裸眼3D大屏。"", ""notes"": ""熊猫基地早上人最多，但熊猫也最活跃，务必7:30前到门口排队。武侯祠对60岁以上老人免费但需换票，记得带身份证。锦里小吃偏甜辣，老人若肠胃弱建议选不辣品种。春熙路晚上人多，注意保管随身物品，走累了可在太古里方所书店休息。全天步数约1.2万步，建议穿舒适运动鞋。""}]}"
9,3,学生穷游,1000以内,"{""days"": [{""day"": 1, ""morning"": ""成都大熊猫繁育研究基地 - 7:30前到达门口（地铁3号线熊猫大道站，出站后乘景区直通车或打车约10元），门票55元（学生半价27元）。务必上午参观，熊猫上午最活跃，看月亮产房和幼年熊猫别墅。建议自带水和干粮，园内餐饮较贵。"", ""afternoon"": ""武侯祠 + 锦里 - 从熊猫基地乘地铁3号线转1号线到高升桥站（约1小时，车费5元），武侯祠门票50元（学生半价25元），锦里免费。武侯祠和锦里一墙之隔，先逛武侯祠（红墙竹影打卡），傍晚前进入锦里，品尝三大炮、糖油果子等小吃（人均30元）。"", ""evening"": ""春熙路/IFS/太古里 - 乘地铁1号线转2号线到春熙路站（约30分钟，车费3元），打卡IFS熊猫爬墙，逛太古里夜景，方所书店免费拍照。晚餐推荐太古里附近的小谭豆花或龙抄手（人均25元），或春熙路夜市小吃（人均20元）。"", ""notes"": ""1. 熊猫基地一定要早去，7:30前到，否则熊猫睡觉且人挤人。2. 武侯祠学生票需带学生证，锦里小吃先问价再买。3. 春熙路商圈物价较高，尽量选择小店或路边摊。4. 全天交通费约20元，餐饮约80元，门票约52元。""}, {""day"": 2, ""morning"": ""都江堰景区 - 从成都犀浦站乘城际列车到离堆公园站（票价10元，约30分钟，需提前在12306购票），出站步行10分钟即到。门票80元（学生半价40元），游览鱼嘴、飞沙堰、宝瓶口，走安澜索桥。建议自带干粮，景区内餐饮贵。"", ""afternoon"": ""青城山（前山） - 从都江堰景区乘公交101路（2元）约30分钟到青城山站，前山门票80元（学生半价40元），若时间紧可选后山（门票20元，但需更长时间）。前山道观多，可乘索道（单程35元，自愿），徒步上山约3小时，注意末班车时间。"", ""evening"": ""返回成都市区 - 从青城山站乘城际列车回犀浦（票价10元，约40分钟），转地铁2号线回市区（约20分钟，3元）。晚餐可在犀浦或市区吃实惠的冒菜或豆花饭（人均20元）。"", ""notes"": ""1. 提前买好犀浦-离堆公园和青城山-犀浦的往返票，避免无座。2. 青城山雨天路滑，穿防滑鞋，带雨衣。3. 都江堰游览约3小时，青城山约4小时，注意体力分配。4. 全天交通约40元，门票约80元，餐饮约40元。""}, {""day"": 3, ""morning"": ""宽窄巷子 - 乘地铁4号线到宽窄巷子站（约2元），免费参观，感受老成都院落文化，拍照打卡。不要在巷内买小吃，价格偏高，可拍完照去人民公园附近吃。"", ""afternoon"": ""人民公园鹤鸣茶社 - 从宽窄巷子步行10分钟到人民公园，鹤鸣茶社喝茶（盖碗茶15-20元/杯），体验采耳（30元，可讲价）。午餐在公园附近吃钟水饺或担担面（人均15元）。"", ""evening"": ""九眼桥夜景（可选）或太古里补漏 - 若前晚未逛够，可乘地铁2号线到东门大桥站（2元），免费看九眼桥夜景和酒吧街（不消费）。若想购物，可再回春熙路看夜景。晚餐推荐九眼桥附近的小吃街（人均20元）。"", ""notes"": ""1. 鹤鸣茶社人多，可拼桌，自带零食更省钱。2. 宽窄巷子的掏耳朵比人民公园贵，体验采耳选公园。3. 今日行程轻松，可睡到自然醒，注意退房时间。4. 全天交通约10元，餐饮约70元，茶费20元。""}]}"
10,3,情侣约会,2500左右,"{""days"": [{""day"": 1, ""morning"": ""成都大熊猫繁育研究基地 - 7:30打车或乘地铁3号线至熊猫大道站转接驳车（车费约40元/人）。看活跃的熊猫幼崽，建议尽早入园，游览约3小时，门票55元/人。"", ""afternoon"": ""武侯祠 + 锦里（一墙之隔） - 从熊猫基地打车至武侯祠约45元，或地铁3号线转高升桥站步行10分钟。武侯祠门票50元/人，游览1.5小时；随后直接步入锦里古街，免费逛吃，品尝三大炮、糖油果子等，晚餐在此解决，人均约80元。"", ""evening"": ""春熙路 / IFS / 太古里夜景 - 从锦里打车约20元或地铁3号线春熙路站。在IFS顶楼与爬墙熊猫合影，逛太古里裸眼3D屏和方所书店，夜晚灯光璀璨适合约会。夜宵可去附近香槟广场吃烤匠烤鱼或降龙爪爪，人均约100元。"", ""notes"": ""熊猫基地一定赶早，下午熊猫睡觉；武侯祠和锦里相连，别走回头路；春熙路晚餐推荐陶德砂锅或烤匠，提前手机取号避开排队。""}, {""day"": 1, ""morning"": """", ""afternoon"": """", ""evening"": """", ""notes"": """"}, {""day"": 2, ""morning"": ""都江堰景区 - 从市区坐地铁2号线至犀浦站，换乘城际列车至离堆公园站（约30分钟，票价10元/人）。游览鱼嘴、飞沙堰、宝瓶口，登秦堰楼看全景，门票80元/人，游览约3小时。"", ""afternoon"": ""青城山（前山） - 从都江堰打车至青城山景区约25元，或乘101路公交（2元）。前山道观人文为主，徒步+索道（往返60元/人）约3小时，门票80元/人。下山后可在山门附近农家乐吃老腊肉、白果炖鸡，人均约70元。"", ""evening"": ""返回市区，夜游九眼桥酒吧街 - 从青城山站乘城际列车回犀浦再转地铁回市区（约1.5小时，总车费约15元/人）。在九眼桥合江亭边散步，选一家民谣清吧小酌看夜景，人均消费约100元。"", ""notes"": ""都江堰和青城山务必一天完成，早出晚归；穿舒适运动鞋，青城山石阶多；城际列车票提前在12306买好，返程末班车约21:00，别错过。""}, {""day"": 3, ""morning"": ""人民公园鹤鸣茶社 - 从春熙路打车约10元或地铁2号线人民公园站。上午10点前到，点两杯盖碗茶（约30元/人），在竹椅上体验采耳（50元/人），看成都人慢生活，感受民国老茶馆氛围。"", ""afternoon"": ""宽窄巷子（步行10分钟） - 从鹤鸣茶社穿过少城路即到。逛宽巷子、窄巷子、井巷子，看川西院落和文创店，免费。午餐在巷内吃三大炮、伤心凉粉或小龙虾锅盔，人均约80元。下午可去隔壁的奎星楼街吃冒椒火辣串串，人均约90元。"", ""evening"": ""成都339天府熊猫塔夜景 - 从宽窄巷子打车约20元或地铁4号线转6号线。登塔观光（80元/人）俯瞰全城夜景，塔下电视塔广场有旋转餐厅和夜市。也可在附近吃一顿麻辣火锅（如蜀大侠或大龙燚），人均约120元。最后在塔下河边散步结束行程。"", ""notes"": ""鹤鸣茶社建议坐湖边位置，自带瓜子零食更划算；宽窄巷子内小吃偏贵，正餐走奎星楼街；339塔顶风大，晚上带件薄外套。""}]}"
