spot_id,spot_name,spot_level,poi_category,address,longitude,latitude,rating,ticket_price_min,opening_hours_json,description,travel_tips,cultural_context,avg_visit_hours,area_tag
1,成都大熊猫繁育研究基地,5A,全球最大的大熊猫迁地保护基地，拥有大熊猫、小熊猫等珍稀动物。园区分为太阳产房、月亮产房、熊猫活动场等区域。,成华区外北熊猫大道,104.1473,30.7327,4.7,55,"{""open"":""7:30"",""close"":""18:00""}",全球最大的大熊猫迁地保护基地，拥有大熊猫、小熊猫等珍稀动物。园区分为太阳产房、月亮产房、熊猫活动场等区域。,建议上午7:30入园，熊猫上午最活跃；游览3-4小时；门票55元可官网提前购；园区内电瓶车10元。,大熊猫是中国国宝，成都大熊猫基地是全球唯一在大熊猫保护领域获得重大成功的机构，2006年被评为5A级景区。,4.0,成华区
2,武侯祠博物馆,4A,中国唯一的君臣合祀祠庙，纪念诸葛亮和刘备。园区分为文物区、园林区、锦里民俗区三部分。,武侯区武侯祠大街231号,104.0485,30.6404,4.5,50,"{""open"":""9:00"",""close"":""18:00""}",中国唯一的君臣合祀祠庙，纪念诸葛亮和刘备。园区分为文物区、园林区、锦里民俗区三部分。,门票50元；与锦里一墙之隔步行2分钟建议同半天；游览2-3小时；三国文化爱好者必去。,武侯祠始建于公元223年，是中国影响最大的三国遗迹博物馆，1961年被列为全国重点文物保护单位。,3.0,武侯区
3,锦里古街,4A,成都著名步行街，集合美食、民俗、购物。街道全长550米，明清建筑风格，有茶馆、客栈、酒楼、戏台。,武侯区武侯祠大街,104.0478,30.6398,4.3,0,"{""open"":""全天""}",成都著名步行街，集合美食、民俗、购物。街道全长550米，明清建筑风格，有茶馆、客栈、酒楼、戏台。,免费全天开放；与武侯祠一墙之隔；建议傍晚游览灯光氛围好；小吃人均50-80元。,锦里是西蜀历史上最古老、最具有商业气息的街道之一，秦汉三国时期便已闻名全国。,2.0,武侯区
4,宽窄巷子,4A,由宽巷子、窄巷子、井巷子三条平行街道组成，是成都老城区少城片区遗存，体验老成都生活方式。,青羊区金河路口,104.0613,30.6721,4.4,0,"{""open"":""全天""}",由宽巷子、窄巷子、井巷子三条平行街道组成，是成都老城区少城片区遗存，体验老成都生活方式。,免费全天开放；建议下午到傍晚游览2-3小时；与人民公园步行10分钟；节假日人多。,宽窄巷子是清朝遗留的少城片区，是中国三大历史文化名街之一，记录了成都300年城市变迁。,3.0,青羊区
5,都江堰景区,5A,世界文化遗产，2000多年前李冰父子修建的水利工程至今仍在使用。景区含鱼嘴、飞沙堰、宝瓶口三大主体工程。,都江堰市公园路,103.6109,30.9946,4.7,80,"{""open"":""8:00"",""close"":""17:30""}",世界文化遗产，2000多年前李冰父子修建的水利工程至今仍在使用。景区含鱼嘴、飞沙堰、宝瓶口三大主体工程。,门票80元；距成都60km高铁30分钟；建议安排完整1天；与青城山可同日但时间紧。,都江堰建于公元前256年，是世界唯一留存的以无坝引水为特征的宏大水利工程，2000年列入世界文化遗产。,5.0,都江堰市
6,青城山景区,5A,道教发源地之一，有'青城天下幽'之称。前山以道教文化为主，后山以自然风光为主。,都江堰市青城山镇,103.5623,30.9042,4.6,80,"{""open"":""8:00"",""close"":""17:00""}",道教发源地之一，有'青城天下幽'之称。前山以道教文化为主，后山以自然风光为主。,门票前山80元后山20元；建议上午青城山下午都江堰；前山游览4小时后山需6小时。,青城山是中国四大道教名山之一，东汉张道陵在此创立天师道，2000年与都江堰一同列入世界文化遗产。,4.0,都江堰市
7,人民公园鹤鸣茶社,3A,成都最有名的露天茶馆，体验盖碗茶和采耳，感受成都慢生活。百年茶社保留民国风貌。,青羊区祠堂街9号,104.0602,30.6648,4.5,0,"{""open"":""7:00"",""close"":""22:00""}",成都最有名的露天茶馆，体验盖碗茶和采耳，感受成都慢生活。百年茶社保留民国风貌。,免费入场盖碗茶10-30元；与宽窄巷子步行10分钟；建议上午体验1-2小时；周末人多需等位。,鹤鸣茶社始建于20世纪20年代，是成都茶馆文化的活化石，代表了成都人休闲慢生活的生活方式。,2.0,青羊区
8,春熙路IFS太古里,-,成都最繁华商业区，IFS爬墙熊猫雕塑是地标，太古里是开放式低密度街区，汇集国际品牌和方所书店。,锦江区中纱帽街,104.0917,30.6580,4.6,0,"{""open"":""全天""}",成都最繁华商业区，IFS爬墙熊猫雕塑是地标，太古里是开放式低密度街区，汇集国际品牌和方所书店。,免费全天开放；建议傍晚/夜间游览氛围最佳；地铁2号线春熙路站；IFS顶层可近距离看熊猫。,春熙路始建于1924年，名字取自《道德经》'众人熙熙，如享太牢，如春登台'，是成都百年商业中心。,3.0,锦江区
9,杜甫草堂,4A,唐代诗人杜甫流寓成都时的故居，现为中国文学史圣地。园林清幽，有茅屋故居、花径、诗史堂等景观。,青羊区青华路37号,104.0301,30.6663,4.5,50,"{""open"":""8:00"",""close"":""18:00""}",唐代诗人杜甫流寓成都时的故居，现为中国文学史圣地。园林清幽，有茅屋故居、花径、诗史堂等景观。,门票50元；游览2-3小时；适合安静游览品读诗意；与金沙遗址博物馆车程15分钟。,杜甫（712-770）在成都草堂居住近4年，创作诗歌240余首，其中《茅屋为秋风所破歌》在此写成。,3.0,青羊区
10,金沙遗址博物馆,4A,21世纪中国重大考古发现，太阳神鸟金箔为镇馆之宝，成都城市标志来源。遗迹馆原址展示挖掘现场。,青羊区金沙遗址路2号,104.0132,30.6820,4.6,70,"{""open"":""9:00"",""close"":""18:00""}",21世纪中国重大考古发现，太阳神鸟金箔为镇馆之宝，成都城市标志来源。遗迹馆原址展示挖掘现场。,门票70元；周一闭馆；游览2-3小时；太阳神鸟金箔必看；与杜甫草堂车程15分钟。,金沙遗址距今约3000年，是古蜀文明代表，太阳神鸟图案被定为中国文化遗产标志。,3.0,青羊区
