variant_id,source_type,source_id,source_field,query_variant
1,spot,1,description,成都大熊猫基地早上几点开门？门票多少钱一张？
2,spot,1,description,从春熙路怎么坐车去熊猫基地，地铁能到不？
3,spot,1,description,带3岁小孩去熊猫基地方便吗？有婴儿车能推的路吗？
4,spot,1,description,熊猫基地除了看熊猫，还有啥好玩的？太阳产房和月亮产房哪个先逛比较好？
5,spot,1,description,听说基地里小熊猫也很多，和熊猫活动场挨着吗？逛完整个园区大概要多久？
6,spot,1,travel_tips,熊猫基地早上几点开门？我打算一早就过去，怕去晚了看不到熊猫活动。
7,spot,1,travel_tips,现在门票多少钱一张？网上提前买能便宜点不？
8,spot,1,travel_tips,园区里面大不大？走路逛得完吗，还是必须坐那个电瓶车？
9,spot,1,travel_tips,带5岁小孩去合适不？会不会走太久孩子累？有没有休息的地方？
10,spot,1,travel_tips,从春熙路怎么坐车过去方便？大概要多久能到？
11,spot,1,cultural_context,请问成都大熊猫基地早上几点开门？几点去能看到熊猫最活跃？
12,spot,1,cultural_context,现在去大熊猫基地门票多少钱一张？小孩和老人有优惠吗？
13,spot,1,cultural_context,大熊猫基地在成都哪个位置？坐地铁或者公交怎么过去最方便？
14,spot,1,cultural_context,带5岁的小朋友去大熊猫基地玩合适吗？里面有没有婴儿车通道或者休息区？
15,spot,1,cultural_context,大熊猫基地好玩吗？大概要逛多久，除了看熊猫还有啥值得看的？
16,spot,2,description,武侯祠早上几点开门？下午最晚几点就进不去了？
17,spot,2,description,去武侯祠门票多少钱一张？学生或者老人有优惠吗？
18,spot,2,description,从春熙路坐地铁怎么去武侯祠？下车后要走多远？
19,spot,2,description,武侯祠里面除了看诸葛亮和刘备的祠堂，还有啥好逛的？大概逛多久能逛完？
20,spot,2,description,带5岁的小孩去武侯祠合适吗？里面有没有能让孩子跑一跑或者感兴趣的地方？
21,spot,2,travel_tips,武侯祠门票好多钱一张哇？
22,spot,2,travel_tips,武侯祠几点开门喃？逛一圈大概要耍好久？
23,spot,2,travel_tips,武侯祠离锦里有好远？是不是走路几分钟就到，耍完锦里再过去来得及不？
24,spot,2,travel_tips,带娃儿去武侯祠合适不？娃娃会不会觉得无聊？
25,spot,2,travel_tips,武侯祠好不好耍？是不是只有三国迷才觉得有意思？
26,spot,2,cultural_context,武侯祠几点开门关门？门票多少钱一张？
27,spot,2,cultural_context,武侯祠在成都哪个位置？坐地铁怎么过去方便？
28,spot,2,cultural_context,武侯祠里面好玩吗？大概逛多久能逛完？
29,spot,2,cultural_context,带小孩去武侯祠合适吗？有没有适合小朋友看的展品？
30,spot,2,cultural_context,武侯祠和锦里挨着吗？逛完武侯祠去锦里吃小吃方便不？
31,spot,3,description,锦里一般几点开门营业？晚上会不会关门？
32,spot,3,description,去锦里逛要门票吗？里面吃东西大概人均多少钱？
33,spot,3,description,从春熙路怎么坐车去锦里？地铁能到吗？
34,spot,3,description,锦里除了逛吃，还有啥好玩的？看戏和掏耳朵大概多少钱？
35,spot,3,description,带5岁小孩去锦里合适吗？里面推婴儿车方便不？
36,spot,3,travel_tips,锦里一般几点开门关门喃？晚上去是不是更好耍？
37,spot,3,travel_tips,去锦里逛一圈大概要花好多钱？里头吃小吃人均多少嘛？
38,spot,3,travel_tips,锦里离武侯祠有好远？是不是就在隔壁，走路就能到？
39,spot,3,travel_tips,带五岁娃儿去锦里耍合适不？有没有啥子要注意的？
40,spot,3,travel_tips,锦里到底好不好耍？值不值得专门跑一趟，大概要逛好久？
41,spot,3,cultural_context,锦里几点开门关门啊？晚上去逛到几点合适？
42,spot,3,cultural_context,去锦里要不要门票？里面吃东西大概人均多少钱？
43,spot,3,cultural_context,锦里离武侯祠近吗？从春熙路坐地铁怎么过去？
44,spot,3,cultural_context,锦里到底好不好玩？主要看什么，跟宽窄巷子比哪个更值得去？
45,spot,3,cultural_context,带五岁小孩去锦里方便吗？有没有适合小朋友玩的项目或者小吃？
46,spot,4,description,宽窄巷子几点开门关门啊？晚上去会不会已经关了？
47,spot,4,description,去宽窄巷子要门票吗？大概玩一圈得花多少钱？
48,spot,4,description,宽窄巷子具体在成都哪个位置？坐地铁怎么过去方便？
49,spot,4,description,带家里老人和小孩去宽窄巷子逛，路平不平好不好走？有没有适合孩子玩的地方？
50,spot,4,description,宽窄巷子到底好不好耍？跟锦里比是不是更值得去？
51,spot,4,travel_tips,请问这里几点开门？大概逛多久比较合适呀？
52,spot,4,travel_tips,这个地方要门票吗？是免费的吗？
53,spot,4,travel_tips,从人民公园走过去要多久？走路能到吗？
54,spot,4,travel_tips,下午去玩到傍晚大概两三个小时，里面好玩不？适合拍照打卡吗？
55,spot,4,travel_tips,带小朋友去合适吗？节假日去会不会人挤人，体验差？
56,spot,4,cultural_context,宽窄巷子几点开门关门？门票要钱不？
57,spot,4,cultural_context,从春熙路坐地铁怎么去宽窄巷子，哪个站下？
58,spot,4,cultural_context,宽窄巷子带三岁小孩去逛合适吗，有没有什么好玩的？
59,spot,4,cultural_context,宽窄巷子到底好玩不，主要看啥子，逛一圈要多久？
60,spot,4,cultural_context,宽窄巷子附近停车方便不，开车去大概停哪儿划算？
61,spot,5,description,都江堰景区早上几点开门？下午去来得及逛完吗？
62,spot,5,description,去都江堰门票多少钱一张？有没有学生票或者老人优惠？
63,spot,5,description,从成都市区怎么坐车去都江堰？坐地铁能到吗？
64,spot,5,description,都江堰带小孩去好玩吗？里面走路多不多，推婴儿车方便不？
65,spot,5,description,都江堰除了看水利工程，有没有什么特别值得拍照或者体验的地方？
66,spot,5,travel_tips,这个景点门票是多少钱一张？有学生票或者老人票优惠吗？
67,spot,5,travel_tips,从成都市区过去大概要多久？是坐高铁方便还是自驾方便？
68,spot,5,travel_tips,一般早上几点开门？如果我想一天玩完，几点出发比较合适？
69,spot,5,travel_tips,里面主要看什么或者玩什么？跟青城山比起来哪个更值得去？
70,spot,5,travel_tips,带5岁的小孩去合适吗？里面走路多不多，有没有推车方便的路？
71,spot,5,cultural_context,都江堰早上几点开门？门票多少钱一张？
72,spot,5,cultural_context,从成都市区怎么去都江堰最方便？坐高铁还是大巴？
73,spot,5,cultural_context,都江堰除了看水利工程，还有啥好玩的？带小孩去合适吗？
74,spot,5,cultural_context,都江堰无坝引水到底是啥意思？现场看会不会觉得无聊？
75,spot,5,cultural_context,都江堰玩下来大概要多久？半天够不够？值得专门跑一趟吗？
76,spot,6,description,青城山早上几点开门？我想早点去避开人流。
77,spot,6,description,现在青城山门票多少钱一张？前山和后山是分开收费吗？
78,spot,6,description,从成都市区怎么去青城山最方便？坐高铁到哪个站下？
79,spot,6,description,青城山前山和后山哪个好玩？我只有一天时间，主要想看道教建筑。
80,spot,6,description,带5岁小孩去青城山合适吗？走前山会不会太累，有没有缆车或者观光车？
81,spot,6,travel_tips,青城山前山和后山门票分别是多少钱啊？
82,spot,6,travel_tips,早上几点开门？我想上午去青城山，下午再去都江堰，时间来得及不？
83,spot,6,travel_tips,青城山和都江堰之间怎么去最方便？有直达的公交或景区直通车吗？
84,spot,6,travel_tips,带家里老人和小孩去青城山，是玩前山还是后山更合适？会不会太累？
85,spot,6,travel_tips,青城山后山好玩吗？听说要爬六个小时，风景和前山比哪个更值得去？
86,spot,6,cultural_context,青城山早上几点开门？我想早点去人少一点。
87,spot,6,cultural_context,现在去青城山门票多少钱一张？有没有学生票或者老人优惠？
88,spot,6,cultural_context,从成都市区怎么去青城山最方便？坐地铁能到吗？
89,spot,6,cultural_context,青城山好玩吗？主要是看道观还是爬山？大概要玩多久？
90,spot,6,cultural_context,带5岁小孩去青城山合适吗？山路好走吗，需要带推车吗？
91,spot,7,description,这个茶馆几点开门啊？早上想去坐坐会不会太早没意思？
92,spot,7,description,去喝盖碗茶加采耳大概要花多少钱？人均消费高不高？
93,spot,7,description,这家露天茶馆具体在哪儿？坐地铁或者打车方便吗？
94,spot,7,description,除了喝茶采耳，还有没有别的玩法？适合带小孩一起去吗？
95,spot,7,description,网上都说这里最有民国味，实际去体验到底怎么样？会不会很吵或者太商业化？
96,spot,7,travel_tips,那边喝盖碗茶大概多少钱一个人喃？
97,spot,7,travel_tips,从宽窄巷子走过去要走多久哦？
