rule_id,category,title,content,severity
1,景点安排,熊猫基地必须上午去,"熊猫上午7:30-10:00最活跃，下午大多在睡觉。建议开园即入，游览3-4小时。下午去体验大打折扣。",high
2,景点安排,武侯祠和锦里安排同半天,"武侯祠与锦里一墙之隔步行2分钟，务必安排在同一时段游览，避免重复路线浪费时间。",high
3,景点安排,都江堰青城山安排完整1天,"都江堰距成都60km，与青城山相邻但两处合计需6-8小时。必须安排完整1天，勿与其他市区景点混排。",high
4,景点安排,金沙遗址博物馆周一闭馆,"金沙遗址博物馆每周一闭馆，出行前务必确认开放时间。杜甫草堂同日下午可补游。",medium
5,景点安排,西岭雪山季节不对没雪,"西岭雪山滑雪仅12-3月有雪，夏季无雪仅可徒步避暑。看雪需提前确认天气。",medium
6,景点安排,熊猫基地门票提前买,"节假日熊猫基地限流，现场排队可能1小时+。建议提前在官网或小程序购票。",medium
7,景点安排,杜甫草堂金沙遗址同游,"杜甫草堂与金沙遗址博物馆车程仅15分钟，建议安排同半天游览。各需2-3小时，合计半天。",medium
8,景点安排,宽窄巷子人民公园同游,"宽窄巷子与人民公园步行10分钟，建议下午宽窄巷子→傍晚人民公园喝茶，合计3小时。",medium
9,景点安排,成都博物馆需提前预约,"成都博物馆免费但需微信小程序预约，周末和节假日当天约满。建议提前2天预约。",medium
10,景点安排,四川博物院周一闭馆,"四川博物院每周一闭馆，与杜甫草堂相邻可同游。免费但需预约。馆藏张大千敦煌壁画必看。",medium
11,景点安排,文殊院周边文殊坊美食街,"文殊院游览1小时足够，出来后文殊坊小吃街可吃蛋烘糕、凉粉等。不需要特意安排半天。",low
12,景点安排,黄龙溪夏天去最好,"黄龙溪夏季可玩水最有趣，冬季景观一般。建议6-9月前往，其他季节体验大减。",medium
13,景点安排,洛带古镇半日够了,"洛带古镇不大，半日游足够。重点是四大会馆和客家文化，长城为新建仿古不必期待。",low
14,交通出行,成都地铁比打车快,"春熙路、宽窄巷子等热门区域节假日堵车严重，地铁2/3号线覆盖主要景点，效率更高。",high
15,交通出行,都江堰坐高铁比自驾快,"成都东站到都江堰高铁仅30分钟，自驾至少1.5小时且停车难。青城山同站可达。",high
16,交通出行,洛带古镇坐公交可达,"洛带古镇从成都坐219路公交直达，无需包车。车程约1小时，周末堵车另算。",low
17,交通出行,春熙路地铁2号线直达,"春熙路地铁站为2/3号线换乘站，从全市各方向均可直达。打车到春熙路反而堵车难停。",medium
18,交通出行,共享单车覆盖市区景点,"市区景点间距3-5km，共享单车骑行15-20分钟可达，比打车灵活。但宽窄巷子周边禁停区多。",low
19,交通出行,机场到市区坐地铁18号线,"天府机场到市区地铁18号线快线37分钟，打车至少1小时且高速费50元。双流机场地铁10号线20分钟。",high
20,交通出行,出租车高峰期打不到,"成都早晚高峰（7:30-9:00/17:30-19:00）出租车极难打，建议提前出行或改地铁。",medium
21,美食避坑,火锅避开网红店排队,"小龙坎、大龙燚等网红店周末排队1-2小时。本地人常去的电台巷、蜀大侠味道相同且不排队。",high
22,美食避坑,不要在景区内买特产,"宽窄巷子、锦里景区内的特产店价格翻2-3倍。超市或火车站附近购买更实惠。",medium
23,美食避坑,串串香按签数算价,"串串香按竹签数量计费，取食材前先看价目表。大签小签价格不同，结账前数清楚。",medium
24,美食避坑,兔头不要在景区买,"宽窄巷子等景区兔头15元/个，双流老妈兔头8元/个且味道更正宗。",low
25,美食避坑,火锅涮菜时间有讲究,"毛肚七上八下15秒即可，鸭肠10秒，黄喉30秒。煮久了嚼不动。老肉片需3-5分钟。",medium
26,美食避坑,不要点鸳鸯锅被嘲笑,"成都人吃火锅点鸳鸯锅会被开玩笑。如果实在不能吃辣，点微辣+清汤各一半。真正不能吃辣可选菌汤锅。",low
27,美食避坑,火锅店小料自助别拿多,"火锅店小料自助10-15元/位，芝麻酱蒜泥香油按需取。拿太多浪费还影响味道，香油蒜泥是成都标配。",low
28,美食避坑,建设路小吃街晚上去,"建设路小吃街傍晚6点后最热闹品类最全。白天很多摊位不开，建议晚上7-9点前往。",medium
29,美食避坑,冒菜和火锅不是一回事,"冒菜是一人份小火锅，火锅是多人共锅。冒菜按份计价20-40元，火锅人均80-120元。别搞混。",low
30,消费提醒,人民公园采耳要讲价,"鹤鸣茶社采耳师傅报价30-80元不等，可还价到20-30元。体验10分钟即可，无需长时间。",medium
31,消费提醒,鹤鸣茶社周末要排队,"鹤鸣茶社周末上午10点后基本满座需等位30分钟+。建议上午9点前到达或工作日前往。",low
32,消费提醒,春熙路太古里傍晚去最好,"春熙路太古里白天逛店晚上看灯，IFS爬墙熊猫傍晚光线最佳。白天太晒人最多。",low
33,消费提醒,锦里酒吧消费偏高,"锦里酒吧和茶馆价格偏高，一瓶啤酒30-50元。建议只逛街不吃喝，去建设路或玉林路更实惠。",medium
34,消费提醒,IFS熊猫雕塑拍照角度,"IFS爬墙熊猫在7楼雕塑庭院，从商场内部电梯到7楼。最佳拍摄角度是趴在栏杆仰拍，人少时早上去。",low
35,消费提醒,宽窄巷子住宿性价比低,"宽窄巷子周边酒店500-800元/晚且吵闹。建议住春熙路或天府广场附近，交通便利性价比高。",medium
36,安全提醒,天台山蚊虫多带驱蚊,"天台山夏季蚊虫极多，必带驱蚊液或蚊香。穿长裤和运动鞋，勿穿凉鞋拖鞋。",high
37,安全提醒,黄龙溪夏天玩水注意安全,"黄龙溪夏天溪水戏水区域水深不一，带小孩的家长需看护。湿滑石头注意防滑。",high
