food_id,food_name,category,description,avg_price,best_areas,famous_shops
1,牛油火锅,火锅,"成都火锅灵魂，牛油锅底麻辣鲜香。九宫格、鸳鸯锅为经典形式。涮菜以毛肚、鸭肠、黄喉为主。",80-120,"春熙路、宽窄巷子、科华路","小龙坎、大龙燚、电台巷、蜀大侠"
2,鸳鸯火锅,火锅,"一半麻辣一半清汤，适合不能吃辣的人群。成都火锅标配选择。",70-100,"全市各商圈","海底捞、巴奴毛肚火锅"
3,清油火锅,火锅,"以植物油替代牛油，口味清爽不腻，麻辣度略低，适合夏季食用。",60-90,"武侯区、锦江区","德庄火锅、刘一手"
4,冷锅鱼,火锅,"鱼火锅变体，冷锅上桌鱼已熟，边煮边吃。鱼肉嫩滑锅底麻辣，成都特色。",60-90,"武侯区、双流区","三只耳冷锅鱼、绝代双骄"
5,老油火锅,火锅,"传统老油工艺反复熬制，味道更醇厚浓郁。现多用一次性牛油模拟老油口感。",80-130,"青羊区、武侯区","蜀九香、老码头"
6,串串香,串串,"竹签串起各种食材涮煮，自选自涮，按签计价。成都夜宵标配，人均50-80元。",40-80,"玉林路、建设路、抚琴夜市","马路边边、瓜串串、钢管厂五区小郡肝"
7,钵钵鸡,串串,"冷锅串串，食材煮熟后浸泡在麻辣红油中，冷吃。口感清爽麻辣，适合夏天。",30-60,"乐山、建设路、宽窄巷子","廖记钵钵鸡、高墙钵钵鸡"
8,冒菜,小吃,"一人份小火锅，各种食材在麻辣汤底中煮熟连汤带菜上碗。'冒'即快速烫煮之意。",20-40,"全市各街巷","芙蓉树下、蜀韵冒菜"
9,担担面,小吃,"成都名小吃，面条细薄配碎肉臊子，浇麻辣花椒调味。'担担'源自挑担叫卖。",10-15,"全市各面馆","陈麻婆担担面、皇城坝小吃"
10,龙抄手,小吃,"成都馄饨，皮薄馅大。红油抄手为经典，麻辣鲜香。清汤抄手鲜美醇厚。",15-25,"春熙路总店","龙抄手总店（春熙路）"
11,钟水饺,小吃,"红油水饺，饺子皮薄馅嫩，浇红油微甜带辣，蒜泥汁为灵魂。",10-18,"少城、宽窄巷子","钟水饺（少城店）"
12,赖汤圆,小吃,"成都百年名小吃，黑芝麻馅大汤圆，皮薄馅多，煮后不浑汤。甜而不腻。",8-15,"全市各分店","赖汤圆（总府路总店）"
13,夫妻肺片,凉菜,"成都名菜，牛心、牛舌、牛肚等切片，浇红油花椒面。麻辣鲜香嫩，已非'废片'。",25-40,"全市各店","夫妻肺片总店（总府路）"
14,麻婆豆腐,川菜,"成都名菜，嫩豆腐配牛肉末，麻辣鲜香烫。'麻'为花椒，'辣'为豆瓣。",20-35,"青羊区、武侯区","陈麻婆豆腐（青华路店）"
