rule_id,rule_content,reason,priority
R-001,熊猫基地必须安排在第1天上午7:30-12:00,"熊猫上午7:30-10:00最活跃，下午大多在睡觉。第1天上午去可保证最佳体验，且开园即入避开人流高峰。",1
R-002,武侯祠与锦里必须安排在同一半天,"武侯祠与锦里一墙之隔步行仅2分钟，分开安排会造成重复往返路线浪费时间。",1
R-003,宽窄巷子与人民公园鹤鸣茶社必须安排在同一半天,"同属老城区少城片区，步行仅10分钟。宽窄巷子下午逛→傍晚人民公园喝茶是经典路线。",1
R-004,都江堰与青城山必须安排在同一个完整的一天,"都江堰距成都60km，青城山距都江堰15km。两处合计游览6-8小时，往返市区通勤1.5小时，无法与市区景点混排。",1
R-005,春熙路/IFS/太古里必须安排在傍晚或晚间,"太古里夜景灯光秀为核心体验，IFS爬墙熊猫傍晚光线最佳。白天太晒且人最多，体验大打折扣。",2
R-006,行程天数≤3天时不得安排乐山大佛,"乐山大佛距成都150km，车程2.5小时以上，游览需3小时，往返占用一整天。3天内行程时间不足以支撑远郊景点。",1
R-007,美食片区须附随对应景点，不得单独安排'全天美食日',"成都美食分布于各商圈，集中安排美食日会造成跨区奔波浪费通勤时间。应随景点就近安排餐饮。",2
R-008,单日内景点数量≤3个，且景点间通勤总时长≤2小时,"符合真实游客体力约束，避免行程过紧走马观花。每日预留充足游览和休息时间。",1
R-009,每日步行总步数不得超过15000步（约10公里），且连续步行超过45分钟后必须安排至少15分钟的坐下休息时间（如茶馆、咖啡厅或观光车）。,成都景点（如宽窄巷子、锦里、熊猫基地）步行距离长且地面多为石板路，双脚和膝盖负荷大。超量步行易导致次日疲劳累积，影响后续行程质量。,1
R-010,每天最多安排1个需要爬楼梯或上坡的景点（如青城山、龙泉山、武侯祠内的台阶区），且该景点游览总时长不超过2.5小时。若当天安排了爬山，则下午必须安排纯平地的休闲活动（如人民公园喝茶、逛博物馆）。,成都周边山景区坡度大，对心肺和下肢肌肉要求高。同一天叠加多个爬坡点会显著增加膝关节压力和体力透支风险，导致行程中断或受伤。,1
R-011,连续行程天数超过3天时，第4天必须安排半天（至少3小时）的‘零步行’缓冲时段，具体形式为：上午睡到自然醒、酒店泳池/健身房（仅限低强度）、或全程坐车+室内看戏（如蜀风雅韵）。,成都旅行通常节奏紧凑且餐饮油腻，连续高强度游览3天后，足底筋膜和腰背肌群进入疲劳临界点。强制缓冲可预防足底筋膜炎、腰肌劳损等常见旅行伤病，保证后续行程可持续性。,2
R-012,每日总预算（含交通、餐饮、门票、购物）不得超过游客预设日均预算的120%，若超出，则必须优先削减购物及高溢价餐饮支出，且单日娱乐项目（如演出、酒吧、夜游）费用不得超过当日总预算的15%。,成都旅游消费弹性大（如火锅人均50-200元、景区内消费溢价高），若不加硬性上限，游客极易在热门商圈或网红店超支，导致后续行程资金断裂。设120%为安全阀，同时限制娱乐占比，保证住宿与核心景点费用优先。,1
R-013,在规划每日行程时，必须预留至少两餐（午餐+晚餐）的预算区间，其中至少一餐为本地平价餐饮（人均≤40元，如面馆、豆花饭、蹄花汤），且任何一餐的预算上限不得超过当日餐饮总预算的60%。,成都美食是核心体验，但外地游客易被网红餐厅或景区周边高价餐饮吸引，导致餐饮成本失控。强制预留平价餐可确保基础饱腹与地道体验，单餐上限防止某一顿（如火锅宴）透支全天预算，维持三餐结构稳定。,1
R-014,所有涉及跨区（如从市中心到都江堰、青城山或大熊猫基地）的交通费用，必须提前计算往返总价，并设定为单独预算项，不得与市内地铁/公交费用混用；若该交通费超过当日预算的25%，则必须调整行程顺序或改用景区直通车/拼车等替代方案。,成都周边景点（如熊猫基地、三星堆、都江堰）距离市区较远，打车或包车费用高且易被临时加价，若混入日常交通预算，会挤占餐饮或门票费用。单独列项并设25%红线，强制规划师评估性价比，避免因交通超支破坏整体预算平衡。,2
R-015,每日行程总耗时（含交通、游览、用餐）不得超过10小时，且必须确保晚上22:00前返回市区住宿点。,成都夜生活丰富但行程过载会导致疲劳，且部分老城区道路夜间照明一般，保证休息和次日精力是安全与体验的基础。,1
R-016,核心景区（如熊猫基地、都江堰、三星堆）必须安排在上午9:00前出发，且单程车程超过1小时的景点当日最多安排1个。,成都上午易堵车且景区上午人流相对可控，远距离景点叠加会造成时间失控，影响后续行程衔接。,1
R-017,午餐和晚餐时间需固定为12:00-13:30和18:30-20:00，且每餐用餐时间（含等位）不得超过90分钟，正餐之间至少间隔4小时。,成都热门餐厅排队严重，不固定时间会导致下午行程顺延；间隔过短或过长都会影响消化和游览节奏，保证行程可预测。,2
R-018,若行程日期在6月至9月（夏季），所有上午10点至下午4点之间的户外景点（如大熊猫繁育研究基地、都江堰、青城山、宽窄巷子等）必须替换为室内或半户外项目（如成都博物馆、四川科技馆、金沙遗址博物馆、蜀风雅韵剧场），且每日户外总时长不得超过2小时。,成都夏季湿热多雨，体感温度常超35℃，且紫外线强，长时间户外游览易导致中暑、脱水或暴雨淋湿，影响游客安全和体验，因此必须强制调整。,1
R-019,若行程日期在12月至次年2月（冬季），每日行程中必须至少安排1个室内取暖型体验项目（如火锅店午餐/晚餐、茶馆内看变脸表演、泡温泉（如花水湾或峨眉山）），且早晨出发时间不得早于8:30，下午户外景点（如西岭雪山、黄龙溪）必须在17:00前结束。,成都冬季湿冷（气温0-10℃，体感更低），且常伴阴雨雾霾，过早出行或长时间户外会因寒冷引发不适，同时室内热食和温泉能有效保障游客舒适度，故强制加入暖身环节并限制户外时段。,1
R-020,若行程中包含老年人（60岁以上）、婴幼儿（3岁以下）或残障人士，单日步行总时长不得超过2小时，且任意连续步行时间不得超过40分钟，两段步行之间必须安排至少15分钟的坐式休息；同时，每日景点数量不得超过3个，且不得安排需要攀爬超过50级台阶或坡度大于15度的景点（如青城山前山、大熊猫繁育研究基地的山坡步道需改为观光车代步）。,此类人群体力与关节承受力有限，长时间行走或陡坡易引发摔倒、心脏负荷过重或中暑等风险，强制压缩步行强度可确保行程安全与体验舒适度。,1
R-021,若团队中有5岁以下儿童或行动不便者，每日餐饮安排必须包含至少一餐为固定座位餐厅（非小吃街或流动摊位），且餐厅需配备无障碍通道或儿童座椅；同时，下午16:00后不得安排需要换乘3次以上公共交通的跨区活动（如从武侯祠去往龙泉驿），应选择地铁直达或网约车点对点接送。,儿童饥饿或疲劳时情绪易失控，行动不便者在小吃街拥挤环境或多次换乘中极易走散或受伤，固定餐厅与简化交通能保障用餐卫生、休息节奏及突发情况下的快速响应。,2
R-022,每日行程中，地铁2号线、4号线、3号线或1号线覆盖的景点（如春熙路、宽窄巷子、熊猫基地、文殊院）之间移动时，必须优先选择地铁，且单次地铁换乘不得超过1次；若目的地间直线距离小于3公里，则必须采用步行或共享单车，禁止打车。,成都市中心及主要景点地铁覆盖率高，且高峰时段（8:00-9:30、17:00-19:30）地面交通拥堵严重，打车或公交耗时不可控，强制地铁可保障行程准时，提高游览效率。,1
R-023,若当日行程涉及三环外景区（如都江堰、青城山、大熊猫繁育研究基地），必须提前一天预订并确认往返交通（高铁/景区直通车/网约车），且出发时间不得晚于早上7:30；返程时，必须预留至少2小时缓冲时间以应对晚高峰或景区排队，且禁止在18:00后从三环外景区出发返回市中心。,三环外景区距离远、路况复杂，且热门景区（如大熊猫基地）早间人流量最大，晚归易遇堵车或末班车停运，提前锁定交通和早出发可规避延误风险，确保当日行程完整可执行。,1
R-024,穷游档：住宿仅限青旅或多人间床位，单日住宿预算≤80元，且必须通过线上平台预订以获取最低价。,日均总预算≤200元，住宿若超80元将压缩餐饮与门票空间，青旅床位是唯一满足极限预算的选择。,1
R-025,穷游档：每日餐饮预算≤80元，且正餐只能选择苍蝇馆子或路边摊（人均≤25元/餐），早餐≤10元，禁止进入任何带服务费或环境费的餐厅。,成都苍蝇馆子性价比极高，人均25元可吃饱吃好，剩余预算用于交通与小景点，确保总日均不破200元。,1
R-026,穷游档：市内交通仅限公交和地铁（单日交通预算≤15元），禁止使用网约车、出租车或共享单车超出3次/天（每次≤2元）。,成都地铁网络覆盖主要景点，单程2-5元，15元可覆盖4-6次出行，超支将直接导致预算失衡。,1
R-027,穷游档：景点选择仅限免费景区（人民公园、东郊记忆、锦里夜景）或门票≤20元的低成本景点（如文殊院），每日门票总预算≤30元。,免费与低价景点占成都景点60%以上，且文化体验充分，30元上限确保日均剩余资金可应对突发情况。,1
R-028,舒适档：住宿标准为连锁快捷酒店（如全季、汉庭、亚朵轻居），单日住宿预算控制在200-350元，且需选择二环内地铁口1公里内门店。,日均200-500元区间，住宿占40%-70%属合理区间，二环内交通便利可降低通勤成本，维持整体舒适度。,1
R-029,舒适档：每日餐饮预算150-250元，正餐可选择中档餐厅（如网红川菜馆、老字号分店，人均60-90元/餐），允许1次/天下午茶或甜品（≤40元）。,中档餐厅能体验成都美食精髓且不奢侈，150-250元覆盖三餐加小吃，与住宿预算形成平衡，日均不超500元。,1
R-030,舒适档：市内交通以网约车为主（每日≤3次，单次≤25元），其余使用地铁/公交，单日交通总预算≤80元，禁止跨城包车。,舒适档游客时间价值较高，网约车解决短途不便，但80元上限防止过度消费，保证总日均≤500元。,2
R-031,舒适档：景点选择可含收费景区（如大熊猫基地、武侯祠、杜甫草堂），但每日门票+景区内消费总预算≤200元，且至少安排1个免费公园。,收费核心景点门票多在50-60元，200元可覆盖2-3个，加免费公园平衡行程，符合舒适档消费预期。,1
R-032,豪华档：住宿标准为五星级酒店或同等级精品设计酒店（如博舍、钓鱼台），单日住宿预算≥800元，且必须含行政酒廊或早餐。,日均>500元时，住宿是核心体验，≥800元确保顶级服务与位置优势，符合豪华档心理预期。,1
